level,mode,function,duration_ms
1,a,get_fulcio_cert,38.40
1,a,sign,50.93
1,a,get_policy_from_tuf,1287.25
1,a,evaluate,152.44
1,a,verify_sig,1483.53
2,a,get_fulcio_cert,39.15
2,a,sign,81.53
2,a,get_policy_from_tuf,1162.46
2,a,evaluate,145.32
2,a,verify_sig,1357.36
3,a,get_fulcio_cert,32.99
3,a,sign,76.59
3,a,get_policy_from_tuf,1230.16
3,a,evaluate,130.33
3,a,verify_sig,1403.96
1,b,sign,829.66
1,b,get_policy_from_tuf,1164.88
1,b,evaluate,124.93
1,b,verify_sig,1336.44
2,b,sign,328.00
2,b,get_policy_from_tuf,1217.34
2,b,evaluate,132.01
2,b,verify_sig,1397.01
3,b,sign,323.79
3,b,get_policy_from_tuf,1184.39
3,b,evaluate,149.20
3,b,verify_sig,1381.50
1,c,sign,73.73
1,c,get_policy_from_tuf,1287.41
1,c,evaluate,155.99
1,c,_verif_quote,216.01
1,c,verify_sig,1668.88
2,c,sign,68.59
2,c,get_policy_from_tuf,1274.11
2,c,evaluate,133.70
2,c,_verif_quote,187.04
2,c,verify_sig,1604.10
3,c,sign,86.98
3,c,get_policy_from_tuf,1295.11
3,c,evaluate,143.47
3,c,_verif_quote,211.34
3,c,verify_sig,1659.33
